V480__Mon            1  97.72072286   9.67309847 201.99063794  -0.11251533  4.340  0.114   0.2621  0.0946   0.7998  0.0898 -0.1013  58.994 10.926
VZ____Mon            1  97.81061432  11.85034487 200.10126195   0.97319466  5.087  0.174   0.2871  0.0866  -0.1530  0.0736 -0.0348  28.292  4.172
CS____Mon            1  98.04559752   6.65306084 204.81742257  -1.22366037  3.926  0.091  -0.5649  0.0821  -0.6792  0.0681  0.0367  40.024  5.829
CU____Mon            1  98.19498185   0.04314592 210.76278307  -4.13066589  6.756  0.278   0.0817  0.0756   0.5402  0.0718  0.0529  53.535  5.087
WW____Mon            1  98.40492429   9.20356761 202.71888772   0.26913167  5.722  0.164   0.1199  0.0863   0.1689  0.0711  0.1495  42.727 11.463
BB____Gem            1  98.64705378  13.07908183 199.38694734   2.26431276  3.361  0.111  -0.8633  0.0833  -0.8451  0.0799 -0.1510  78.125  4.322
W_____Gem            1  98.73938123  15.33046096 197.42470784   3.37596782  0.986  0.054  -0.8731  0.0729  -2.5273  0.0711 -0.3551  -5.095  7.066
J063519+2117.8       1  98.82990915  21.29670414 192.12940274   6.16213695  4.107  0.131  -0.1762  0.0976  -1.1499  0.0803  0.0303  43.100  5.067
NSVS12507880         1  98.92552761   2.14963560 209.22190246  -2.51679886  6.093  0.272   0.0632  0.0629   0.2081  0.0577 -0.1529  41.637  8.372
V495__Mon            1  99.26409833  -2.82409919 213.81067287  -4.48566655  5.004  0.169  -0.1923  0.0819  -0.0301  0.0743  0.2057  69.824  4.501
BE____Mon            1 100.02325681   7.60583493 204.87365006   0.95702966  1.981  0.060  -0.6678  0.0984   1.1502  0.0883 -0.4175  55.546  9.283
V911__Mon            1 100.15650858  11.72747874 201.26511082   2.95706872  4.222  0.169  -0.7069  0.0682  -0.1436  0.0600 -0.1334  72.318  7.700
V979__Mon            1 100.39405905   7.94432525 204.74069133   1.43857194  3.141  0.097  -0.8812  0.0781  -0.4195  0.0636  0.2190  67.300  4.819
J064152-0120.1       1 100.46536292  -1.33498494 213.02897948  -2.73925731  5.627  0.165  -0.1477  0.0762   0.7207  0.0671 -0.1049  54.589  4.472
AD____Gem            1 100.78129647  20.93910612 193.26909242   7.63228945  2.979  0.090  -0.4852  0.0805  -1.2741  0.0672 -0.0277  57.282 11.547
V504__Mon            1 101.18310922  -3.95239761 215.68985743  -3.29079849  4.312  0.121  -0.9990  0.0684   0.5494  0.0750 -0.0427  68.377 12.005
